import time: self [us] | cumulative | imported package
import time:       508 |        508 |   _io
import time:       128 |        128 |   marshal
import time:      1158 |       1158 |   posix
import time:      2150 |       3943 | _frozen_importlib_external
import time:       216 |        216 |   time
import time:       396 |        612 | zipimport
import time:       376 |        376 |     _codecs
import time:       841 |       1216 |   codecs
import time:       744 |        744 |   encodings.aliases
import time:      1048 |       3007 | encodings
import time:       363 |        363 | encodings.utf_8
import time:       161 |        161 | _signal
import time:        66 |         66 |     _abc
import time:       409 |        475 |   abc
import time:       407 |        881 | io
import time:        92 |         92 |       _stat
import time:       512 |        603 |     stat
import time:      2148 |       2148 |     _collections_abc
import time:       303 |        303 |       genericpath
import time:       507 |        810 |     posixpath
import time:      1542 |       5102 |   os
import time:       361 |        361 |   _sitebuiltins
import time:       522 |        522 |     __future__
import time:       516 |        516 |         warnings
import time:       314 |        829 |       importlib
import time:       333 |       1162 |     importlib.machinery
import time:       202 |        202 |       importlib._abc
import time:       224 |        224 |           itertools
import time:       204 |        204 |           keyword
import time:       137 |        137 |             _operator
import time:       421 |        557 |           operator
import time:       355 |        355 |           reprlib
import time:      2427 |       2427 |           _collections
import time:      1486 |       5250 |         collections
import time:       415 |        415 |           types
import time:       268 |        268 |           _functools
import time:       962 |       1644 |         functools
import time:       821 |       7714 |       contextlib
import time:       389 |       8304 |     importlib.util
import time:      1353 |       1353 |           enum
import time:       100 |        100 |             _sre
import time:       379 |        379 |               sre_constants
import time:       450 |        829 |             sre_parse
import time:       376 |       1304 |           sre_compile
import time:       129 |        129 |           _locale
import time:       211 |        211 |           copyreg
import time:       803 |       3798 |         re
import time:       204 |       4002 |       fnmatch
import time:        81 |         81 |         _winapi
import time:        43 |         43 |         nt
import time:        36 |         36 |         nt
import time:        34 |         34 |         nt
import time:        33 |         33 |         nt
import time:       315 |        540 |       ntpath
import time:        70 |         70 |       errno
import time:       131 |        131 |         urllib
import time:      1528 |       1659 |       urllib.parse
import time:      1121 |       7391 |     pathlib
import time:      1434 |      18809 |   __editable___bmcs_matmod_0_1_0_finder
import time:       380 |        380 |   __editable___bmcs_matmod_aiida_0_1_0_finder
import time:       164 |        164 |   __editable___bmcs_utils_0_1_0_finder
import time:       276 |        276 |   _distutils_hack
import time:       380 |        380 |   sitecustomize
import time:        95 |         95 |   usercustomize
import time:      2986 |      28549 | site
import time:       118 |        118 |     bmcs_utils.version
import time:       109 |        109 |     collections.abc
import time:       142 |        367 |   bmcs_utils
import time:       153 |        153 |           IPython.core
import time:       164 |        317 |         IPython.core.getipython
import time:        90 |         90 |         IPython.core.release
import time:       297 |        297 |           atexit
import time:       212 |        212 |               _weakrefset
import time:       486 |        697 |             weakref
import time:       161 |        161 |                 org
import time:        14 |        174 |               org.python
import time:        15 |        189 |             org.python.core
import time:       291 |       1176 |           copy
import time:       564 |        564 |                   token
import time:      1427 |       1991 |                 tokenize
import time:       190 |       2180 |               linecache
import time:       645 |       2824 |             traceback
import time:       114 |        114 |               _string
import time:      1360 |       1473 |             string
import time:       935 |        935 |             threading
import time:      2232 |       7464 |           logging
import time:       632 |        632 |             zlib
import time:       205 |        205 |               _compression
import time:       329 |        329 |               _bz2
import time:       281 |        814 |             bz2
import time:       352 |        352 |               _lzma
import time:       402 |        753 |             lzma
import time:       890 |       3088 |           shutil
import time:       896 |        896 |                       _ast
import time:      3355 |       4250 |                     ast
import time:       251 |        251 |                         _opcode
import time:       310 |        561 |                       opcode
import time:       636 |       1196 |                     dis
import time:      1512 |       6958 |                   inspect
import time:      1896 |       1896 |                   typing
import time:       192 |        192 |                     traitlets.utils
import time:       359 |        551 |                   traitlets.utils.bunch
import time:        74 |         74 |                   traitlets.utils.descriptions
import time:        73 |         73 |                   traitlets.utils.getargspec
import time:        76 |         76 |                   traitlets.utils.importstring
import time:        90 |         90 |                   traitlets.utils.sentinel
import time:      3707 |      13421 |                 traitlets.traitlets
import time:       575 |        575 |                 traitlets._version
import time:       209 |        209 |                 traitlets.utils.decorators
import time:       373 |      14576 |               traitlets
import time:       675 |        675 |                       _json
import time:       514 |       1188 |                     json.scanner
import time:       492 |       1680 |                   json.decoder
import time:       467 |        467 |                   json.encoder
import time:       334 |       2480 |                 json
import time:       696 |        696 |                   dataclasses
import time:       841 |       1536 |                 pprint
import time:       862 |        862 |                       _socket
import time:       497 |        497 |                         math
import time:       290 |        290 |                         select
import time:       838 |       1624 |                       selectors
import time:       343 |        343 |                       array
import time:      1910 |       4737 |                     socket
import time:       258 |        258 |                         _struct
import time:       124 |        381 |                       struct
import time:       476 |        476 |                       _compat_pickle
import time:       294 |        294 |                       _pickle
import time:       238 |        238 |                           org
import time:        13 |        251 |                         org.python
import time:        11 |        261 |                       org.python.core
import time:       987 |       2397 |                     pickle
import time:       153 |        153 |                         _heapq
import time:       179 |        331 |                       heapq
import time:       143 |        143 |                       _queue
import time:       265 |        739 |                     queue
import time:       979 |       8851 |                   logging.handlers
import time:       642 |        642 |                   socketserver
import time:      1415 |      10907 |                 logging.config
import time:       852 |        852 |                 textwrap
import time:       171 |        171 |                   traitlets.utils.text
import time:       878 |        878 |                       gettext
import time:       822 |       1700 |                     argparse
import time:      3196 |       4895 |                   traitlets.config.loader
import time:       554 |       5619 |                 traitlets.config.configurable
import time:       108 |        108 |                 traitlets.utils.nested_update
import time:      1211 |      22710 |               traitlets.config.application
import time:       165 |      37451 |             traitlets.config
import time:        24 |      37474 |           traitlets.config.application
import time:       444 |        444 |                 pkgutil
import time:       675 |        675 |                     signal
import time:       270 |        270 |                     fcntl
import time:       196 |        196 |                     msvcrt
import time:       184 |        184 |                     _posixsubprocess
import time:       559 |       1882 |                   subprocess
import time:      1910 |       3792 |                 platform
import time:       648 |        648 |                 sysconfig
import time:      1220 |       1220 |                 _sysconfigdata__linux_x86_64-linux-gnu
import time:      2654 |       8755 |               pydoc
import time:      1331 |       1331 |                     html.entities
import time:       621 |       1952 |                   html
import time:      1244 |       1244 |                     executing.executing
import time:        96 |         96 |                     executing.version
import time:       510 |       1849 |                   executing
import time:       345 |        345 |                           _bisect
import time:       114 |        458 |                         bisect
import time:       306 |        763 |                       asttokens.line_numbers
import time:       996 |        996 |                         six
import time:        56 |         56 |                         six.moves
import time:       534 |        534 |                         asttokens.util
import time:       373 |       1956 |                       asttokens.asttokens
import time:       149 |       2867 |                     asttokens
import time:        11 |       2878 |                   asttokens.util
import time:       402 |        402 |                             _datetime
import time:       789 |       1190 |                           datetime
import time:       398 |        398 |                               numbers
import time:       695 |       1092 |                             _decimal
import time:       131 |       1223 |                           decimal
import time:       867 |        867 |                           fractions
import time:       266 |       3543 |                         pure_eval.utils
import time:       255 |       3798 |                       pure_eval.my_getattr_static
import time:       531 |       4328 |                     pure_eval.core
import time:       105 |        105 |                     pure_eval.version
import time:       168 |       4601 |                   pure_eval
import time:       343 |        343 |                   stack_data.utils
import time:      1668 |      13289 |                 stack_data.core
import time:       296 |        296 |                 stack_data.formatting
import time:       259 |        259 |                 stack_data.serializing
import time:        65 |         65 |                 stack_data.version
